,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Argentina,871.62526949064,,,,,,,,,,,,,,,,,,,,871.62526949064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.41365659354,1867.4679530427,2002.03825008992,1839.59679166548,1863.05637929774,1769.57307981018,1743.0921261363,2140.94891116066,2333.66262917252,2426.43503662846,2770.22151087373,2695.38405253873,2794.95144666359,3156.63763737837,3364.75191356233,2982.76804096037,2730.32087023582,3176.31540723448,3266.50627761821,3664.86277464035,3949.39833802297,4246.47742267384,3317.39014652978,3498.61791141564,4011.22893455366,3419.66192843255,3611.76678484972,3436.58678869546,3830.90762455956,4131.04712407078,4562.36225681841,4580.2228558231,4464.28758424857,4694.41298466147,4708.23234100796,4832.3833474306,4726.01098989955,4923.20848327983,4777.65707398923,4091.98484249622,3949.96643227317,3767.93942940191,3397.61563461377,3961.68342585518,4038.95341605084,4263.1328509781,4242.31385532186,4452.29018089928,4807.27908416322,5035.78857295563,4861.29772844192,4962.41598026089,5178.19597782044,5356.78488247613,5456.67394708064,5081.19952161842,4633.64263372077,4393.51847998092,4518.04960158412,4790.2155239642,4909.12401931165,4872.9653640933,5149.62983624711,5084.61559852543,5199.51579454492,5202.22857413423,5393.04139245229,5368.4231037417,5248.21289593795,5757.53449224741,5482.91690155944,5845.22193810146,6359.64115682556,6560.38751842427,6322.97858780109,6252.85859891315,6362.12584306108,5911.31505343663,6107.58602847703,6242.59944767023,6566.88201979649,6630.034400659,6856.85621177193,7157.85634975202,6575.45435988424,6984.75572025304,7367.28604308777,7133.16602281696,6852.53634105988,7452.885451371,8022.44267217397,7955.97418203972,8052.95302077327,8284.39122845451,8870.89396086908,9212.30290964538,9408.19122117682,9443.03852565092,9633.49946939164,9989.81011485887,9766.38404564905,9611.92055860285,10079.0267419146,9602.71450924762,10124.8564735685,10126.5013102792,9421.94288550585,8997.89741168996,9238.60531216741,9301.55235948687,8525.60613893202,9026.85574592767,9139.67138906618,8845.59144356761,8107.71540589938,7846.61251863843,8575.8749055835,9308.41870951779,9742.07743635951,10206.9017811266,9807.78860727921,10245.3828121227,10967.2819490779,11272.7487327597,10771.0783043587,10571.3636241672,9992.71053887656,8797.64071576128,9481.37226181694,10232.0968456729,11063,11883.0776966489,12784.7973864361,13515.1764802047,13498.0448021428
Armenia,502.635489825453,,,,,,,,,,,,,,,,,,,,513.220343345739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.00662474163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241.72114157536,,,,,,,,,,,,,,,,,,,,,,,2849.08625841513,,,,,,,,,,,,,,,,,2809.07261993524,2436.61419153907,1442.93779580781,1375.7232539676,1498.936461795,1632.30500059825,1731.63327662983,1791.3471896926,1928.32665009537,1992.95949528602,2114.05687416368,2328.45977288981,2692.3040388961,3078.9017307022,3413.90833721276,3903,4413.18025232008,5011.55572056483,5338.64392413664,4523.44240999977
Aruba,575.855054287086,,,,,,,,,,,,,,,,,,,,575.855054287086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.48135069625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4223.84229566798,4567.57149002909,4939.75800687926,5344.09147417995,5785.94293045505,6270.22541232505,6803.63937316571,7390.3599421899,8026.34303494064,8701.78829088259,9409.56208526716,10133.5772807616,10874.9149482198,11672.80277341,12589.7214654403,13681.0224171076,15016.4286599152,17674.3389015624,21252.4093037481,23845.2381751154,24316.9686734183,25167.8597822767,25120.5496105259,25277.5688970452,25830.4828957514,25359.882849622,24966.4280146715,26483.6686228222,27963.7748929523,27962.8863181885,28711.442003815,27884.9852616498,26467.870615693,25782.7656388534,26972.6951181695,26762.6526845525,26482.9722351899,26073.6658519541,25351.0869508291
Australia,671.478208924918,,,,,,,,,,,,,,,,,,,,701.033110853906,707.386885272522,728.142302782319,752.825092707143,794.941961660194,833.198581821711,848.9757789143,874.784162437322,896.757557882269,946.577422209062,1148.37303428021,1186.79993118019,1213.29057161537,1217.70787773348,1280.79740657463,1550.02864662922,1523.08058429399,1596.55079066916,1576.6874244591,1470.98403380771,1859.36827769809,1586.06208696625,1446.57958027878,1677.46227502872,1906.60896407207,1961.66556202811,2168.18351458125,2508.30513830648,2870.39895510839,2836.11398365669,2673.32294019127,3172.92219259262,3721.00590423512,4073.93846109946,3567.46549713543,3385.66438790642,4131.4857222228,3645.85732046166,3109.07553043227,4013.75807907461,3917.42184560779,3858.20797000623,3707.75868712273,3695.49512702454,3919.09045767244,3738.03004068302,3848.34455408095,4207.41408344142,4272.09244042587,4187.15557246064,4430.13202942747,4464.33077772153,4809.34796941058,5175.05131486221,5190.16620054537,5600.81348276834,5423.58137663,5462.60453234516,5789.20353605374,5691.19144693856,5800.01560383787,6029.33801559285,5498.49267373396,6057.01576635072,5824.6620199491,5985.26763380167,5859.63819679351,6268.78871672215,6095.55612067722,6424.58363468775,6033.19572529508,6315.76936904856,5407.55773656997,5018.36260436279,5096.42782156387,4719.82739516542,4987.32713721918,4628.71830381656,5266.5971128504,5196.68021809839,5431.84786640836,5195.49638614725,5173.65488127609,5516.93404585595,5812.65628660346,5795.38530398378,6100.4742754537,6248.05722438054,6351.84673282934,6740.93935723035,7051.18854548174,6907.65519670119,6900.48053727705,6979.43644007565,6803.41434019093,6627.25295934048,6602.49105155328,6484.47973356893,6227.92031774518,6382.25112441182,6449.93056371821,6646.50145904585,6853.39685180203,7027.10046247496,7332.15869551366,7515.76901367403,7542.12278526137,7503.1911940878,7378.65066732402,7123.12154716138,6372.40141983482,5892.3457981654,6176.77844923616,6553.90545659102,6848.21827049996,7197.03394278064,7465.36797482401,7776.39216289805,7966.78802498434,7911.61446007295,8345.49721820162,9187.45970810654,10158.1764612454,10425.3189095059,9964.05934975294,9361.60411541045,8925.84357019054,9019.8619011674,9430.03627336434,9794.5619234532,10031.1213832996,10160.7367237228,10039.5956372018,10157.9129837204,10544.0873810927,10864.6177396298,10974.128367069,10949.6495916896,11240.9588581871,11678.0706854665,11897.963724785,11711.5000221017,12217.226861194,12722.2170203347,13329.8972623581,13739.9268797161,13860.9580600892,14526.1246523342,15088.5583605205,15647.1093777589,16273.1421363734,16633.1259037814,16788.6294839567,17429.7180522996,17574.5816709414,17824.570381821,18351.0679328381,18334.1975062923,18635.0380959447,19380.6356175441,19505.5545151565,19841.8794613103,19477.0092770282,19214.561154691,20295.2529352902,21040.4945973867,21168.8105114547,21888.8890322494,22508.1907845122,23133.976354248,23151.8903401834,22893.8567538394,23424.7668251527,24053.1010223776,24780.1724127345,25518.7154426451,26151.1324706041,26997.9365744219,28169.153413071,28983.2671977542,29241.5144982262,30043.242766224,30687.7547308547,31634.2424283103,32098.5061498888,32798,33119.0026592097,34084.0664453672,34239.6327776927,34327.2592073084
Austria,1434.50747912955,,,,,,,,,,,,,,,,,,,,1550.01432961428,1574.97983057299,1600.34744151624,1626.12363907913,1652.31500421348,1678.92822386807,1705.97009269584,1733.44751478866,1761.36750544003,1789.73719293618,1818.56382037594,1837.09633202543,1855.81770368862,1874.72985998888,1893.83474516289,1913.13432326055,1932.63057834691,1952.32551470606,1972.22115704728,1992.31955071311,2012.62276188964,2034.39678802769,2056.40638151757,2078.65409089932,2101.14249228493,2123.87418965668,2146.85181516862,2170.07802945137,2193.55552192021,2217.28701108647,2241.27524487232,2262.8832959321,2284.69966940639,2306.72637372382,2328.96543667622,2351.41890560525,2374.08884759096,2396.97734964199,2420.0865188878,2443.41848277258,2466.97538925113,2483.91463696145,2500.97019637648,2518.14286613928,2535.43345037671,2552.8427587371,2570.37160642815,2588.0208142551,2605.79120865918,2623.68362175628,2641.69889137595,2813.03722973077,2815.1994777584,2730.96100124584,2834.03890602554,2829.19503752558,2873.93976676947,2952.65172244812,3031.03047882851,2990.80562366382,3013.10224522103,3115.99694855299,3115.1916880707,3222.3644390611,3287.39775066737,3245.88918413026,3329.94552768236,3538.38038801458,3508.78785280351,3454.41892245228,3619.15595724904,3720.23182483994,3771.42892617269,3764.6783881912,3951.4024634931,4024.65106964906,4053.25145113928,4105.88333538305,4303.40516110617,4359.56478808007,4362.27240809504,4344.5238099077,4477.80148229124,4480.78694780088,4513.37287812215,4728.1223879773,4870.98244560538,5130.40773228911,5113.09412602793,5056.77478969906,5090.02991731653,5205.8034835308,5422.19217998337,5360.93291753265,4448.44389184534,4104.03560915013,4064.74304829736,4000.86734037936,3952.15934850177,3494.54845763668,3731.71425982253,4099.61766511584,4451.32105934554,4396.7605702253,4892.64374456796,5208.47375190392,5279.81420019365,5422.71760869908,5657.59756779308,5721.425891153,5546.90852485162,5085.87428333585,4547.4908644805,4382.76133088481,4411.24999549105,4496.44858724547,4632.64645230692,4881.74487714665,5506.34812368829,6336.14567977158,6124.69115822998,6524.02168913572,6161.22702004878,6287.80420130336,5888.2075520289,2667.85064369344,3026.57441470271,3351.40824646329,4276.52316035274,5094.4112381708,5733.09811393918,6124.92828201306,6137.07649225162,6399.78694843291,7045.97127413058,7817.25088771106,8348.44946455517,8842.59803022246,9137.2961780461,9360.8538471357,10083.8300518397,10560.9654000458,10750.7211057139,11116.7043940663,11705.6336217389,11964.2821030134,12549.3339653785,12834.6023967888,13335.5570305591,14125.3159590515,15078.7699619964,15779.0737353088,16661.6256003629,17379.3272959156,18033.9750032068,18016.3661735045,18874.2954251193,19749.4223004257,19693.6175067238,20803.3993410406,21284.7083304574,21220.8879003528,21597.0836204935,22266.6633426832,22336.9461954531,22821.2005351225,23329.155360583,23687.8260678818,24371.177690116,25307.8747887764,26134.9952133184,26744.3966861064,27042.0186794512,26882.0440646966,27463.4786331389,27918.8194789739,28602.3525432443,29095.9206561615,30107.9783849207,31039.6187730132,32008.5046599399,32196.4248753604,32417.6076905013,32741.1873696379,33455.6940270227,34108,35161.2273111372,36348.9519012127,37032.7587357245,35636.4169340997
Azerbaijan,639.952510502073,,,,,,,,,,,,,,,,,,,,653.429082930248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.54241762483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2854.14599931037,,,,,,,,,,,,,,,,,,,,,,,4425.47636916429,,,,,,,,,,,,,,,,,4629.49445588237,4528.8387461941,3455.54296932289,2627.68593141644,2088.92854537651,1828.58802463294,1843.1894866766,1943.2850940526,2132.38124749485,2285.69555566564,2533.17015369678,2775.73980182938,3059.17992673385,3387.79078196925,3760.1055766242,4648,6183.49716350284,7646.12320701974,8381.63453181142,9088.41723891205
Bahamas,1409.18869736675,,,,,,,,,,,,,,,,,,,,1409.18869736675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.02356394652,,,,,,,,,,,,,,,,,,,,,,,,,6289.82912471288,,,,,,,,,,,,9611.61568554593,,,,,,,,,,13685.5111477496,14404.4064954607,15117.5150495778,15881.6002127041,16708.0201953018,17609.591952841,18377.2850671401,19318.1060961939,20153.2170407846,21216.8363335767,19420.8364762744,19229.5231549938,18152.4376319529,19144.3247034806,15633.8250898179,13061.014051576,13458.3910462719,14380.6660298192,16071.6834265231,19834.884707311,20670.4589972162,19643.9811413547,20433.036798726,21361.9391167936,21424.1380094595,21869.1861406638,22024.1943113145,22438.0135305541,22549.9342148996,22669.3899050912,21906.4017429369,20600.5003396275,19432.5693105995,19119.6212622892,19353.7912376291,19840.9033470797,20329.1399039574,20990.8324659668,22074.2359141337,22623.0255426897,22728.4082559338,22600.1876050348,22810.9612561673,22744.7546566612,22747.5345780403,23021,23671.6106856168,23524.0275634328,22828.2194796856,21532.6496581401
Bahrain,808.99179262784,,,,,,,,,,,,,,,,,,,,812.818268382729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394.64570998189,,,,,,,,,,,,,,,,,,,,,1575.46526726126,,,,,,,,,,,,,,,,9158.26527964088,9508.37303411242,9867.08476530569,10230.3732664998,10599.6924494091,10957.1729300426,11308.3063591485,11635.79945441,11921.7816039427,12169.7886419038,12373.9080321985,12543.9711930541,12753.2751374286,13030.1291672079,13372.4670076076,13810.4197932165,14286.4803999659,14804.67269933,15319.7010944038,15864.954236729,16484.3368752396,17331.7558559186,18268.6583861276,19043.0800631747,19904.5488222161,17069.0708484465,18770.2107430104,19340.1019642939,19212.872117242,18373.3664696511,19096.9846209369,18770.0814965722,19211.1473098582,19765.0922195127,19830.062192132,19035.1788472938,18782.8654369513,18524.0240556885,18571.207285613,18431.7409550297,17860.3915769866,18146.8564036702,19035.5791702732,20065.7700617175,19499.2551453606,19759.0571948778,20101.5525536208,20292.0167944275,20834.1409218142,21317.7222751085,22015.3228619735,22630.4415805961,23403.5592661103,24686.464984223,25659.6823925985,27236,28478.4598610897,30173.0395265529,31391.3841855284,24226.5110341569
Bangladesh,609,,,,,,,,,,,,,,,,,,,,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,607,608,610,611,613,614,615,617,618,620,621,623,624,625,644,622,649,654,635,664,602,649,664,673,655,606,715,716,659,681,691,744,750,749,730,747,697,703,795,791,785,782,764,805,785,807,791,690,784,721,772,796,763,792,793,810,802,802,827,824,808,806,795,791,773,792,768,759,765,780,785,772,793,776,754,706,702,701,709,673,675,684,683,683,633,688,662,636,656,679,704,686,741,734,758,753,721,772,767,785,731,630,620,682,660,674,660,687,698,684,687,677,693,714,720,736,752,759,763,799,810,838,863,884,913,939,973,1005,1035,1075,1110,1136,1172,1221,1268,1326,1384,1441,1492
Barbados,1017.81398845618,,,,,,,,,,,,,,,,,,,,1017.81398845618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877.91766897185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245.07298925108,,,,,,,,,,5319.73854932828,5711.59297502049,6204.48946754885,5863.1742257822,6130.2146101978,6806.04278262296,7057.56928617608,7788.54408492296,8306.96428444509,8904.39850230973,9712.47608980465,9814.37670089927,9853.80637388931,9990.78865236668,11268.7187968172,10983.9236363016,11414.7762068355,11817.3559131883,12375.1408606397,13301.4604943146,13858.8982151975,13504.6618379481,12736.4724685752,12679.0823212869,13003.2734213239,13020.5813433979,13560.5643501507,13783.2089775998,14140.0928071202,14528.0182466373,13954.7768358407,13293.8971593282,12263.453312749,12299.7553070104,12736.7545004298,13009.3555555622,13356.0774660278,13901.9089296735,14702.3210401597,14710.9640310803,14982.1229374971,14533.6428185421,14544.4930481724,14779.7309424398,15268.1256589896,15837,16294.8013576317,16803.9549212864,16783.8492615342,15846.7660710227
Belarus,717.046810958595,,,,,,,,,,,,,,,,,,,,732.146889673333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632.0103108345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3197.98149586149,,,,,,,,,,,,,,,,,,,,,,,4958.6081238939,,,,,,,,,,,,,,,,,6807.78105670884,6693.18840025132,6014.40607493549,5528.26337127559,4868.61598674911,4355.509242592,4475.405604129,4987.788390677,5411.86175139644,5602.3527245308,5936.23781933984,6225.16417872086,6545.78996482105,6999.86466804343,7806.72444615552,8541,9431.37154069638,10271.5938419857,11322.273904456,11574.4308888592
